CODE,DESC,TU1CODE,TU1DESC,TU2CODE,TU2DESC,TU3CODE,TU3DESC,,,
030112,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Picking up/dropping off hh children,03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,12,Picking up/dropping off hh children,,,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Picking up/dropping off hh children
030199,"Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Caring for & helping hh children, n.e.c.*",03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,99,"Caring for & helping hh children, n.e.c.*",,,"Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Caring for & helping hh children, n.e.c.*"
030201,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Education - Homework (hh children),03,Caring For & Helping Household (HH) Members,02,Activities Related to HH Children's Education,01,Homework (hh children),,,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Education - Homework (hh children)
030202,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Education - Meetings and school conferences (hh children),03,Caring For & Helping Household (HH) Members,02,Activities Related to HH Children's Education,02,Meetings and school conferences (hh children),,,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Education - Meetings and school conferences (hh children)
030203,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Education - Home schooling of hh children,03,Caring For & Helping Household (HH) Members,02,Activities Related to HH Children's Education,03,Home schooling of hh children,,,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Education - Home schooling of hh children
030204,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Education - Waiting associated with hh children's education,03,Caring For & Helping Household (HH) Members,02,Activities Related to HH Children's Education,04,Waiting associated with hh children's education,,,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Education - Waiting associated with hh children's education
030299,"Caring For & Helping Household (HH) Members - Activities Related to HH Children's Education - Activities related to hh child's education, n.e.c.*",03,Caring For & Helping Household (HH) Members,02,Activities Related to HH Children's Education,99,"Activities related to hh child's education, n.e.c.*",,,"Caring For & Helping Household (HH) Members - Activities Related to HH Children's Education - Activities related to hh child's education, n.e.c.*"
030301,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Health - Providing medical care to hh children,03,Caring For & Helping Household (HH) Members,03,Activities Related to HH Children's Health,01,Providing medical care to hh children,,,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Health - Providing medical care to hh children
030302,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Health - Obtaining medical care for hh children,03,Caring For & Helping Household (HH) Members,03,Activities Related to HH Children's Health,02,Obtaining medical care for hh children,,,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Health - Obtaining medical care for hh children
030303,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Health - Waiting associated with hh children's health,03,Caring For & Helping Household (HH) Members,03,Activities Related to HH Children's Health,03,Waiting associated with hh children's health,,,Caring For & Helping Household (HH) Members - Activities Related to HH Children's Health - Waiting associated with hh children's health
030399,"Caring For & Helping Household (HH) Members - Activities Related to HH Children's Health - Activities related to hh child's health, n.e.c.*",03,Caring For & Helping Household (HH) Members,03,Activities Related to HH Children's Health,99,"Activities related to hh child's health, n.e.c.*",,,"Caring For & Helping Household (HH) Members - Activities Related to HH Children's Health - Activities related to hh child's health, n.e.c.*"
030401,Caring For & Helping Household (HH) Members - Caring For Household Adults - Physical care for hh adults,03,Caring For & Helping Household (HH) Members,04,Caring For Household Adults,01,Physical care for hh adults,,,Caring For & Helping Household (HH) Members - Caring For Household Adults - Physical care for hh adults
030402,Caring For & Helping Household (HH) Members - Caring For Household Adults - Looking after hh adult (as a primary activity),03,Caring For & Helping Household (HH) Members,04,Caring For Household Adults,02,Looking after hh adult (as a primary activity),,,Caring For & Helping Household (HH) Members - Caring For Household Adults - Looking after hh adult (as a primary activity)
